-192.65,0.00,0.00
-196.68,-9.78,-0.52
-198.69,-13.31,-0.97
-199.45,-11.19,-0.45
-200.08,-9.59,0.18
-200.24,-7.27,1.48
-199.89,-4.20,3.70
-199.75,-2.41,5.02
-200.08,-2.13,4.75
-199.83,-0.49,6.02
-199.21,1.76,7.85
-198.54,3.70,9.07
-199.11,2.19,6.43
-199.13,2.17,5.72
-198.92,2.66,5.60
-199.28,1.77,4.22
-198.86,2.66,4.61
-198.71,2.83,4.34
-198.85,2.39,3.62
-199.14,1.73,2.82
-198.96,1.99,2.79
-199.04,1.76,2.42
-199.08,1.61,2.15
-198.88,1.86,2.17
-199.10,1.43,1.75
-199.26,1.12,1.45
-199.22,1.16,1.38
-198.96,1.48,1.49
-199.19,1.09,1.18
-199.14,1.11,1.13
-198.96,1.32,1.17
-199.06,1.12,1.01
-199.04,1.08,0.94
-199.40,0.57,0.63
-199.43,0.53,0.58
-199.61,0.29,0.44
-199.82,0.04,0.29
-199.84,0.04,0.28
-199.79,0.12,0.30
-199.61,0.35,0.40
-199.75,0.18,0.30
-199.48,0.50,0.43
-199.76,0.16,0.25
-199.81,0.10,0.21
-199.50,0.47,0.37
-199.67,0.26,0.26
-199.74,0.17,0.21
-199.89,-0.01,0.11
-199.88,0.02,0.12
-199.74,0.19,0.19
-199.84,0.07,0.13
-199.81,0.11,0.14
-199.64,0.31,0.22
-199.80,0.11,0.12
-199.74,0.17,0.14
-200.12,-0.27,-0.06
-200.00,-0.11,0.01
-200.11,-0.22,-0.04
-200.06,-0.13,0.00
-200.12,-0.19,-0.02
-200.27,-0.34,-0.09
-200.51,-0.58,-0.19
-200.16,-0.13,0.02
-200.42,-0.41,-0.11
-200.17,-0.09,0.04
-200.11,-0.01,0.08
-200.00,0.13,0.13
-200.01,0.12,0.12
-199.64,0.54,0.31
-199.58,0.57,0.31
-199.89,0.18,0.12
-199.68,0.41,0.22
-199.81,0.24,0.13
-199.65,0.40,0.19
-199.66,0.37,0.17
-199.87,0.10,0.04
-200.01,-0.08,-0.04
-199.94,0.01,0.00
-199.89,0.07,0.03
-200.16,-0.25,-0.12
-200.08,-0.14,-0.06
-200.25,-0.32,-0.14
-200.18,-0.22,-0.09
-200.23,-0.26,-0.10
-200.21,-0.21,-0.08
-199.84,0.23,0.13
-200.02,0.01,0.02
-199.80,0.26,0.13
-199.66,0.40,0.19
-199.84,0.16,0.08
-200.16,-0.21,-0.10
-200.32,-0.39,-0.17
-199.90,0.13,0.07
-200.07,-0.08,-0.03
-200.34,-0.37,-0.16
-200.51,-0.54,-0.23
-200.07,0.01,0.03
-199.90,0.21,0.12
-200.09,-0.02,0.01
-200.19,-0.14,-0.05
-200.44,-0.41,-0.17
-200.53,-0.48,-0.19
-200.64,-0.57,-0.22
-200.87,-0.78,-0.31
-200.74,-0.57,-0.20
-200.96,-0.77,-0.28
-200.89,-0.63,-0.20
-200.70,-0.36,-0.07
-200.70,-0.31,-0.04
-200.71,-0.30,-0.03
-200.61,-0.15,0.03
-200.79,-0.33,-0.05
-200.88,-0.40,-0.08
-200.85,-0.33,-0.04
-200.91,-0.36,-0.05
-201.06,-0.50,-0.12
-200.99,-0.37,-0.05
-200.67,0.04,0.14
-200.59,0.15,0.18
-198.54,2.49,1.24
-198.97,1.83,0.88
-199.41,1.19,0.54
-199.71,0.75,0.32
-198.03,2.62,1.15
-198.53,1.84,0.75
-199.14,0.99,0.32
